convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,conv_length_min,n_participants,sex_pair
1e35a2d3-ce3f-4b01-bd3d-b466ebc0a951,0.8888888888888888,9,5.0,25.0,2,FM
1e3c22d6-422c-4921-8892-e31e09f9a2f6,1.0,10,9.0,0.0,2,UNK
1e606ba1-3721-4da1-b721-d2530c1546bd,1.6,15,8.5,75.0,2,FM
1e8868f5-b771-402a-b5b2-ba76b9272f2e,1.4,5,6.0,25.0,2,MM
1eb0a263-5575-4bfe-a61b-c2c31e324834,1.3636363636363635,11,8.0,42.0,2,MM
1ec76fe8-2893-4a25-878c-d37b8e949dc7,1.4,10,7.0,30.0,2,FM
1ef4512c-1ae0-4edc-bf53-7b966c2c5a5c,1.4285714285714286,7,7.0,30.0,2,FM
1f27e83c-e6e2-45de-9200-fbbf0541b2c1,1.7692307692307692,13,9.0,70.0,2,FF
1f3847bc-5d44-41b5-bd4a-72f200e5f078,1.4444444444444444,9,5.5,25.0,2,FM
1f44e120-3ee1-46dc-9288-0f1b1d03cdbf,1.1818181818181819,11,8.0,26.0,2,FM
1f7e582c-c6bc-46b6-b5a4-e5d78e8a46ac,1.3333333333333333,9,7.0,27.0,2,FF
1f8de023-817f-4a7b-aefd-bcb1184a1d9a,1.3,10,6.5,26.0,2,FM
1fdf2fcf-746c-446e-a3fa-d70fbbf3e2c6,1.3,10,8.5,32.0,2,FM
1fe173fa-edad-4bbc-bac9-4730d7b4d8c2,1.2857142857142858,7,8.0,32.0,2,FM
2000c98c-93c2-450e-bc2b-bf7b0ab92ceb,1.1,10,8.5,30.0,2,FF
202d99fa-91ea-4893-a15f-365039e198b6,1.2,5,9.0,28.0,2,FM
202efa06-7621-4347-b945-d46e21fa3150,1.1,10,7.5,27.0,2,MM
208392ba-e44a-4d2b-be77-1927ad69bc5e,1.2,10,8.0,25.0,2,MM
208d0dd5-458e-4530-9a8f-ddd6b05bffca,1.375,8,7.0,35.0,2,FF
209e1eea-1c64-41bb-8707-47c4d77e7e92,1.4545454545454546,11,9.0,65.0,2,FM
20bc98a3-efaa-4657-8448-f731bdec47cb,1.6,5,9.0,0.0,2,UNK
20c21d82-037a-4faf-a439-e8be15daf201,1.0,11,8.0,30.0,2,FM
20c24d28-cf75-43fc-890f-2dc6e33279d9,1.1538461538461537,13,9.0,48.0,2,FM
20f92d63-d3aa-44bc-a593-2d50a720d30d,1.2857142857142858,7,7.0,26.0,2,FM
